"","idclient","idticket","Date","Montant","Points"
"1",1743172,70200053359,2010-01-02 10:34:20,209.16,30
"2",1743172,70500103860,2010-01-19 10:06:23,102.95,15
"3",1743172,70500119578,2010-04-21 10:26:18,32.55,4
"4",1743172,70500120738,2010-04-28 10:45:33,107.7,15
"5",1743172,70600087240,2010-05-06 11:02:26,58.9,8
"6",1743172,70400072457,2010-06-18 10:02:56,26,3
"7",1743172,70700047104,2010-08-19 09:41:04,39.95,5
"8",1743172,70500156998,2010-12-03 10:37:54,38.65,5
"9",1743172,70500171146,2011-02-25 10:09:57,59.3,0
"10",1743177,400100000000,2010-01-02 11:06:50,116.02,17
"11",1743177,400100000000,2010-02-13 17:03:39,10.09,1
"12",1743177,400500000000,2010-11-05 17:33:37,26.11,3
"13",1743177,400300000000,2011-04-02 10:57:50,54.29,0
"14",1743191,370100000000,2010-01-02 10:41:01,68.61,10
"15",1743191,370200000000,2010-03-03 18:01:55,102.25,15
"16",1743191,370200000000,2010-03-22 17:56:41,21.86,3
"17",1743191,370500000000,2010-04-04 17:28:05,29.45,4
"18",1743191,370400000000,2010-05-25 11:40:45,44.17,6
"19",1743191,370400000000,2010-06-18 16:38:02,6.33,0
"20",1743191,370400000000,2010-10-19 14:34:33,39.7,5
"21",1743191,370200000000,2010-11-03 10:34:06,29.7,4
"22",1743218,210100000000,2010-01-02 13:08:50,116.23,17
"23",1743218,210200000000,2010-04-07 16:43:32,76.95,10
"24",1743218,210400000000,2010-04-17 12:02:25,12.95,1
"25",1743218,210300000000,2010-06-13 17:12:00,40.8,5
"26",1743218,210100000000,2010-06-26 16:43:58,105.6,15
"27",1743218,210100000000,2010-10-09 11:59:22,7.5,1
"28",1743218,210100000000,2011-01-16 15:25:54,58.75,8
"29",1743218,210100000000,2011-02-19 15:23:23,28.8,0
"30",1743218,210300000000,2011-04-14 15:31:06,115.33,22
"31",1743228,300300000000,2010-01-02 12:41:53,43.4,6
"32",1743228,300100000000,2010-08-13 10:07:44,16.38,2
"33",1743228,300300000000,2010-10-02 16:51:55,40.2,5
"34",1743249,130100000000,2010-01-02 12:01:31,71.4,10
"35",1743249,130400000000,2010-07-28 18:16:08,15.85,2
"36",1743249,130400000000,2011-04-19 16:34:48,26.74,0
"37",1743271,380100000000,2010-01-02 13:27:27,100.77,14
"38",1743271,380100000000,2010-03-02 18:54:49,19.95,3
"39",1743271,380400000000,2010-03-18 18:58:06,6.1,1
"40",1743271,380400000000,2010-04-07 18:48:57,3.99,0
"41",1743271,380500000000,2010-06-06 16:44:36,36.65,5
"42",1743271,380100000000,2010-07-13 15:39:55,31.89,4
"43",1743271,380100000000,2010-09-09 11:16:58,13.49,1
"44",1743271,380300000000,2010-10-01 18:20:57,61.44,8
"45",1743271,470100000000,2010-11-23 13:38:05,9.29,1
"46",1743271,470700000000,2011-03-15 16:01:52,2.8,0
"47",1743322,510100000000,2010-01-02 17:00:08,58.75,8
"48",1743322,510100000000,2010-01-03 16:31:34,-45,0
"49",1743322,110300000000,2010-02-04 19:07:33,14.9,2
"50",1743322,110300000000,2010-02-04 19:08:32,64.3,9
"51",1743322,510200000000,2010-02-05 19:04:55,59.06,8
"52",1743322,510200000000,2010-02-12 15:03:17,112.07,16
"53",1743322,510200000000,2010-02-13 15:47:53,48.2,7
"54",1743322,510200000000,2010-02-19 13:39:39,87.7,13
"55",1743322,510100000000,2010-03-04 17:39:21,110.48,16
"56",1743322,110200000000,2010-03-17 14:58:23,52.89,8
"57",1743322,510200000000,2010-05-06 11:40:09,79.3,11
"58",1743347,140300000000,2010-01-02 17:30:18,183,26
"59",1743347,140200000000,2010-02-15 15:00:34,109,16
"60",1743347,300100000000,2010-06-11 11:09:31,37.74,5
"61",1743347,140100000000,2012-01-27 16:48:37,74.9,12
"62",1743347,140100000000,2012-09-11 16:34:06,86.84,14
"63",1743347,140100000000,2012-11-26 14:58:19,111.6,18
"64",1743347,140100000000,2013-03-07 18:05:58,71.02,11
"65",1743347,140100000000,2013-04-05 15:37:37,128.95,21
"66",1743364,990100000000,2010-01-02 18:23:45,118.42,17
"67",1743364,990100000000,2010-01-15 12:57:36,48.3,7
"68",1743364,990100000000,2010-01-17 12:11:50,16.45,2
"69",1743364,990400000000,2010-01-17 17:42:14,12.02,2
"70",1743364,990400000000,2010-02-05 19:00:28,56.59,8
"71",1743364,990400000000,2010-02-07 11:35:39,4.29,1
"72",1743364,990400000000,2010-03-18 13:13:18,38.78,6
"73",1743364,990200000000,2010-03-26 18:41:33,70.65,10
"74",1743364,990400000000,2010-05-29 19:05:31,45.6,6
"75",1743364,990100000000,2010-07-01 18:36:32,68.09,9
"76",1743364,990100000000,2010-08-14 18:06:03,25.69,3
"77",1743364,990100000000,2010-08-16 16:50:20,3.89,0
"78",1743364,990300000000,2010-12-03 17:48:49,87.03,12
"79",1743364,990300000000,2010-12-03 18:08:22,83.3,11
"80",1743364,990400000000,2011-01-10 14:16:37,10.98,1
"81",1743364,990300000000,2011-02-25 15:26:35,116.77,19
"82",1743364,990500000000,2011-02-26 13:42:54,0,0
"83",1743364,990600000000,2011-07-11 17:19:10,78.27,13
"84",1743364,990600000000,2011-08-03 18:52:15,35.07,5
"85",1743364,990700000000,2011-08-31 13:18:12,69.84,11
"86",1743364,990600000000,2011-10-12 14:02:01,41.06,6
"87",1743364,990600000000,2011-12-07 17:24:29,57.6,9
"88",1743364,990600000000,2012-01-11 13:07:08,67.31,11
"89",1743364,990600000000,2012-01-18 13:14:54,38.55,6
"90",1743364,990400000000,2012-04-17 18:55:59,72.72,12
"91",1743364,990700000000,2012-04-20 18:42:21,72.62,12
"92",1743364,990500000000,2012-05-23 17:51:32,61.46,10
"93",1743364,990600000000,2012-07-12 18:27:46,39.47,6
"94",1743364,990400000000,2012-08-04 13:15:50,45.91,7
"95",1743364,990600000000,2012-08-22 16:25:49,58.03,9
"96",1743364,990300000000,2012-08-29 17:23:06,44.9,7
"97",1743364,990400000000,2012-09-12 17:49:41,17.83,2
"98",1743364,990400000000,2012-09-26 15:47:12,13.27,2
"99",1743364,990400000000,2012-09-30 13:11:43,63.85,10
"100",1743364,990600000000,2012-10-20 15:24:08,20.93,3
"101",1743364,990600000000,2012-10-24 12:20:13,23.71,3
"102",1743364,990600000000,2012-11-07 16:47:54,67.24,11
"103",1743364,990600000000,2012-11-14 16:23:52,15.74,2
"104",1743364,990600000000,2012-12-12 16:43:46,59.11,9
"105",1743364,990600000000,2012-12-24 13:00:19,54.47,9
"106",1743364,990600000000,2013-02-09 12:13:54,35.81,5
"107",1743364,990600000000,2013-02-20 11:29:26,21.58,3
"108",1743364,990600000000,2013-03-13 18:05:12,54.21,9
"109",1743364,990600000000,2013-04-10 16:38:49,44.57,7
"110",1743364,990400000000,2013-04-17 14:41:11,82.73,13
"111",1743389,400500000000,2010-01-02 17:03:27,84.8,12
"112",1743389,400200000000,2010-05-13 17:22:11,24.4,3
"113",1743389,400100000000,2010-06-18 18:05:10,150.6,21
"114",1743389,400100000000,2010-09-28 11:18:11,72.65,10
"115",1743389,400400000000,2011-01-08 17:47:04,20.5,2
"116",1743389,400100000000,2011-08-13 17:04:15,66.09,11
"117",1743389,400100000000,2011-09-28 15:30:36,69.5,11
"118",1743389,400300000000,2012-04-22 18:19:35,104.15,17
"119",1743389,400400000000,2012-05-14 18:48:09,96.2,16
"120",1743389,400400000000,2012-05-16 17:35:59,290.72,48
"121",1743389,400100000000,2012-05-17 17:13:46,252.6,42
"122",1743389,280500000000,2012-05-18 13:37:31,55.5,9
"123",1743389,400100000000,2012-06-18 17:02:04,185.45,31
"124",1743389,400200000000,2012-06-20 16:34:43,84.5,14
"125",1743389,400100000000,2012-07-06 10:19:56,89.6,14
"126",1743389,400100000000,2012-08-22 12:31:12,94.5,16
"127",1743389,400200000000,2012-11-08 12:36:53,33.4,5
"128",1743389,400100000000,2012-12-05 14:48:44,44.9,7
"129",1743389,400200000000,2012-12-05 18:44:39,11.94,1
"130",1743389,400200000000,2012-12-07 17:13:56,111.96,18
"131",1743389,400100000000,2013-06-26 11:04:10,27.8,4
"132",1743404,360100000000,2010-01-02 17:38:29,15,2
"133",1743404,360100000000,2010-01-16 16:20:42,36.26,5
"134",1743404,360100000000,2010-03-12 18:01:26,27.6,4
"135",1743404,360100000000,2010-05-24 17:03:24,12.55,1
"136",1743404,360100000000,2010-06-09 17:22:26,19.95,2
"137",1743404,360100000000,2010-06-20 11:40:08,42,6
"138",1743404,360100000000,2010-06-29 14:44:28,1.79,0
"139",1743404,360100000000,2010-07-24 14:49:43,11.79,1
"140",1743404,360100000000,2011-02-03 15:26:16,22.35,3
"141",1743404,360600000000,2011-05-16 14:24:25,20.4,3
"142",1743404,360600000000,2011-06-15 15:11:19,19.9,5
"143",1743404,360100000000,2011-08-04 16:28:42,5.45,0
"144",1743404,360100000000,2011-10-19 16:41:24,48.7,8
"145",1743404,360300000000,2011-11-04 17:18:07,32,5
"146",1743404,360400000000,2011-12-20 17:28:29,29.2,4
"147",1743404,360100000000,2012-03-03 15:54:38,26.75,4
"148",1743404,360500000000,2012-08-28 16:54:44,48.45,9
"149",1743404,360100000000,2012-12-29 16:09:54,44.7,7
"150",1743404,360100000000,2013-01-03 15:18:12,58.05,9
"151",1743404,360100000000,2013-03-03 15:20:08,17.9,2
"152",1743404,360100000000,2013-05-01 18:12:11,45.83,7
"153",1743404,360100000000,2013-05-11 15:53:12,22.9,3
"154",1743404,360600000000,2013-05-23 16:19:23,16.85,3
"155",1743404,360100000000,2013-07-02 16:06:30,9.5,1
"156",1743404,360100000000,2013-10-25 17:56:03,86.05,14
"157",1743434,260100000000,2010-01-02 17:54:14,100.79,14
"158",1743434,260100000000,2011-05-28 15:04:36,86.52,14
"159",1743459,1100200000000,2010-01-03 17:15:09,19.9,3
"160",1743459,1100200000000,2010-05-14 18:41:37,48.86,6
"161",1743462,130600000000,2010-01-02 15:46:12,90.87,13
"162",1743462,130100000000,2010-03-12 17:28:10,17.85,3
"163",1743462,130600000000,2010-04-01 16:16:45,17.95,3
"164",1743462,130600000000,2010-05-17 15:23:42,17.2,2
"165",1743462,130400000000,2010-06-01 17:15:37,17.5,2
"166",1743462,130600000000,2010-06-07 16:19:05,6.1,0
